                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.66582,                0.86137,                 1.0983,                 0.7817,                0.87415,                0.81235,                0.65426,                0.91498,                 1.2653,                  1.467,             0.00036307,             0.00036307,             0.00036307
                     36,                0.66448,                0.87411,                 1.1043,                0.79668,                0.85419,                0.86296,                0.66476,                0.98736,                 1.1605,                 1.5507,             0.00034108,             0.00034108,             0.00034108
                     37,                0.68301,                0.85524,                  1.106,                0.80891,                0.86456,                0.87805,                0.70203,                 0.9059,                 1.1287,                 1.4524,             0.00031908,             0.00031908,             0.00031908
                     38,                0.65013,                0.82506,                 1.0659,                0.79992,                 0.9017,                0.92494,                0.75593,                  0.908,                 1.1557,                 1.4614,             0.00029708,             0.00029708,             0.00029708
                     39,                0.67255,                0.81958,                 1.1135,                0.81272,                0.90888,                0.90685,                0.72274,                0.94715,                  1.035,                 1.4961,             0.00027508,             0.00027508,             0.00027508
                     40,                0.62615,                0.80695,                 1.0867,                0.84261,                0.88985,                0.96296,                 0.7514,                 0.9503,                 1.0168,                 1.5064,             0.00025309,             0.00025309,             0.00025309
                     41,                0.51795,                0.73555,                 1.0416,                 0.8765,                0.85086,                0.88562,                0.65704,                 1.0303,                 1.1994,                 1.5899,             0.00023109,             0.00023109,             0.00023109
                     42,                0.50653,                0.68011,                 1.0328,                0.88894,                0.84358,                0.91959,                0.74637,                0.89726,                 1.1768,                 1.4367,             0.00020909,             0.00020909,             0.00020909
                     43,                0.47052,                0.62545,                 1.0346,                0.82238,                0.81634,                0.89924,                0.72165,                0.90587,                 1.1254,                 1.4341,             0.00018709,             0.00018709,             0.00018709
                     44,                0.48096,                0.59278,                 1.0366,                0.82325,                0.89902,                0.90527,                0.72549,                0.88834,                0.98865,                 1.4008,             0.00016509,             0.00016509,             0.00016509
                     45,                0.47234,                0.59099,                 1.0303,                0.82701,                0.92165,                 0.9281,                 0.7527,                0.86363,                0.92306,                 1.4134,              0.0001431,              0.0001431,              0.0001431
                     46,                0.45102,                0.55897,                0.99136,                0.83886,                0.88665,                0.92775,                0.74897,                0.88604,                0.99976,                 1.4547,              0.0001211,              0.0001211,              0.0001211
                     47,                0.43507,                 0.5503,                0.98012,                0.87531,                 0.8733,                0.92391,                0.74075,                0.89804,                 1.0613,                 1.4772,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                0.44899,                0.54196,                0.98272,                0.87874,                0.87418,                0.92336,                 0.7521,                0.87518,                 1.0435,                 1.4478,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                0.43512,                0.54764,                 1.0056,                  0.843,                0.88184,                0.92575,                0.74812,                0.87519,                0.97425,                 1.4449,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                0.43586,                0.55328,                0.98992,                0.85259,                0.88472,                0.94101,                0.76628,                 0.8879,                0.91195,                 1.4601,             3.3108e-05,             3.3108e-05,             3.3108e-05
